高市,1223,1223,-10000,名詞,固有名詞,人名,姓,*,*,タカイチ,高市,タカイチ,タカイチ
高市早苗,1223,1223,-10000,名詞,固有名詞,人名,一般,*,*,タカイチサナエ,高市早苗,タカイチサナエ,タカイチサナエ
